libwbclient 4.4.4-1
libwebp 0.5.0-1
libwmf 0.2.8.4-13
libx11 1.6.3-1
libx264 2:148.20160103-1
libx86emu 1.7_1-1
libxau 1.0.8-2
libxaw 1.0.13-1
libxcb 1.12-1
libxcomposite 0.4.4-2
libxcursor 1.1.14-2
libxdamage 1.1.4-2
libxdg-basedir 1.2.0-3
libxdmcp 1.1.2-1
libxext 1.3.3-1
libxfce4ui 4.12.1-2
libxfce4util 4.12.1-1
libxfixes 5.0.2-1
libxfont 1.5.1-1
libxft 2.3.2-1
libxi 1.7.6-1
libxinerama 1.1.3-2
libxkbcommon 0.6.1-1
libxkbcommon-x11 0.6.1-1
libxkbfile 1.0.9-1
libxklavier 5.4-1
libxml2 2.9.4+0+gbdec218-2
libxmu 1.1.2-1
libxpm 3.5.11-1
libxrandr 1.5.0-1
libxrender 0.9.9-1
libxshmfence 1.2-1
libxslt 1.1.29-1
libxss 1.2.2-2
libxt 1.1.5-1
libxtst 1.2.2-1
libxv 1.0.10-1
libxxf86dga 1.1.4-1
libxxf86vm 1.1.4-1
licenses 20140629-1
lightdm 1:1.18.1-2
lightdm-gtk-greeter 1:2.0.1-3
lightdm-gtk-greeter-settings 1.2.0-4
linux-api-headers 4.5.5-1
linux-firmware 20160429.5e6165a-0.1
linux44 4.4.13-1
linux44-ndiswrapper 1.59-14
llvm-libs 3.8.0-1
logrotate 3.9.2-1
lsb-release 1.4-12
lsof 4.89-1
lua 5.3.3-1
lua51 5.1.5-5
lvm2 2.02.155-1
lxappearance 0.6.2-1
lxmenu-data 0.1.5-1
lz4 131-1
lzo 2.09-1
lzop 1.03-5
m4 1.4.17-2
make 4.2.1-1
man-db 2.7.5-2
man-pages 4.06-1
manjaro-alsa 2012.11-1
manjaro-base-skel 20160309-1
manjaro-browser-settings 20160503-1
manjaro-features 16.06-1
manjaro-firmware 20160419-1
manjaro-hotfixes 2015.12-2
manjaro-i3-settings 20160614-1
manjaro-keyring 20160527-1
manjaro-printer 2015.06-2
manjaro-release 16.06.1-1
manjaro-settings-manager 0.4.96-5
manjaro-settings-manager-notifier 0.4.96-5
manjaro-system 20160301-1
manjaro-welcome 20160605-1
mdadm 3.4-1
memtest86+ 5.01-1
menu-cache 1.0.1-2
mesa 11.2.2-1
mesa-demos 8.3.0-1
mhwd 0.5.7-1
mhwd-amdgpu 1.1.0-3.1
mhwd-ati 7.7.0-1
mhwd-catalyst 1:15.201.1151-1
mhwd-db 0.5.7-8
mhwd-nvidia 1:364.19-1
mhwd-nvidia-304xx 304.131-1
mhwd-nvidia-340xx 340.96-1
mime-types 9-1
mjpegtools 2.1.0-2
mkinitcpio 19-1
mkinitcpio-busybox 1.24.2-1
mkinitcpio-nfs-utils 0.3-5.3
mlocate 0.26-5
mobile-broadband-provider-info 20151214-1
moc 1:2.5.0-5
modemmanager 1.4.14-1
morc_menu 0.1-2
mousepad 0.4.0-2
mozilla-common 1.4-4
mpfr 3.1.4.p1-1
mpg123 1.23.3-1
mtdev 1.1.5-1
musicbrainz 2.1.5-7
mutagen 1.31-1
nano 2.6.0-1
nbd 3.13-2
ncdu 1.11-3
ncurses 6.0-4
ndiswrapper-utils 1.59-1
neon 0.30.1-2
net-snmp 5.7.3-3
net-tools 1.60.20130531git-1
netcdf 4.4.1rc1-1
netctl 1.11-1
nettle 3.2-2
network-manager-applet 1.2.2-1
networkmanager 1.2.2-1
networkmanager-dispatcher-ntpd 1.0-6
networkmanager-openconnect 1.2.2-1
networkmanager-openvpn 1.2.2-1
networkmanager-pptp 1.2.2-1
networkmanager-vpnc 1.2.2-1
nfs-utils 1.3.3-3
nfsidmap 0.26-1
nilfs-utils 2.2.4-1
nitrogen 1.5.2-4
nm-connection-editor 1.2.2-1
npth 1.2-1
nspr 4.12-1
nss 3.24-1
nss-mdns 0.10-6
ntfs-3g 2016.2.22-1
ntp 4.2.8.p8-1
numlockx 1.2-3
ocl-icd 2.2.9-1
open-fuse-iso 1.1-1
openconnect 1:7.06-2
opencore-amr 0.1.3-2
openexr 2.2.0-3
openjpeg 1.5.2-1
openresolv 3.8.1-1
openssh 7.2p2-2
openssl 1.0.2.h-1
openvpn 2.3.11-1
opus 1.1.2-1
orc 0.4.25-2
os-prober 1.70-1
p11-kit 0.23.2-1
p7zip 15.14.1-2
package-query 1.8-1
packer 20160325-1
pacli 0.10-2
pacman 5.0.1-4
pacman-mirrorlist 20160423-1
palemoon-bin 26.3.0-1
pam 1.2.1-3
pamac 4.1.0-2
pambase 20130928-1
pango 1.40.1-1
pangomm 2.40.0-1
parted 3.2-4
patch 2.7.5-1
pciutils 3.5.1-1
pcmanfm 1.2.4-1
pcmciautils 018-7
pcre 8.39-1
perl 5.24.0-1
perl-clone 0.38-2
perl-dbi 1.636-2
perl-error 0.17024-1
perl-file-basedir 0.07-1
perl-file-desktopentry 0.22-1
perl-file-mimeinfo 0.27-1
perl-ipc-system-simple 1.25-1
perl-uri 1.71-1
perl-xml-libxml 2.0124-3
perl-xml-namespacesupport 1.11-3
perl-xml-sax 0.99-4
perl-xml-sax-base 1.08-3
pinentry 0.9.7-2
pixman 0.34.0-1
pkg-config 0.29.1-1
polkit 0.113-4
polkit-gnome 0.105-3
polkit-qt5 0.112.0+git20160226-1
poppler 0.42.0-1
poppler-data 0.4.7-1
poppler-glib 0.42.0-1
popt 1.16-8
powertop 2.8-2
ppp 2.4.7-2
pptpclient 1.8.0-2
procps-ng 3.3.11-2
progsreiserfs 0.3.0.5-8
psmisc 22.21-3
pygobject-devel 3.20.0-2
pygobject2-devel 2.28.6-12
pygtk 2.24.0-6
pyqt4-common 4.11.4-4
python 3.5.1-2
python-cairo 1.10.0-6
python-chardet 2.3.0-2
python-dbus 1.2.4-1
python-dbus-common 1.2.4-1
python-gobject 3.20.0-2
python-packaging 16.7-1
python-pycups 1.9.73-2
python-pycurl 7.43.0-1
python-pyparsing 2.1.4-1
python-pyqt4 4.11.4-4
python-requests 2.10.0-1
python-setuptools 1:23.0.0-1
python-sip 4.18-1
python-six 1.10.0-1
python-urllib3 1.16-1
python2 2.7.11-3
python2-beautifulsoup4 4.4.1-1
python2-cairo 1.10.0-2
python2-configobj 5.0.6-2
python2-dbus 1.2.4-1
python2-exiv2 0.3.2-10
python2-gobject 3.20.0-2
python2-gobject2 2.28.6-12
python2-httplib2 0.9.2-1
python2-lxml 3.6.0-1
python2-netifaces 0.10.4-2
python2-pillow 3.2.0-1
python2-pycurl 7.43.0-1
python2-six 1.10.0-1
pywebkitgtk 1.1.8-3
qpdf 6.0.0-2
qt4 4.8.7-9
qt5-base 5.6.1-2
qtchooser 53-2
qtwebkit 2.3.4-4
randrproto 1.5.0-1
ranger 1.7.2-1
raptor 2.0.15-4
readline 6.3.008-4
recordproto 1.14.2-2
refind-efi 0.9.2-1
reiserfsprogs 3.6.24-1
renderproto 0.11.1-3
rest 0.8.0-1
rfkill 0.5-1
rp-pppoe 3.12-1
rpcbind 0.2.3-3
rsync 3.1.2-1
rtmpdump 1:2.4.r96.fa8646d-2
run-parts 4.7-1
rxvt-unicode 9.22-2
rxvt-unicode-terminfo 9.22-2
s-nail 14.8.8-1
sbc 1.3-1
sbxkb 0.7.6-2
schroedinger 1.0.11-3
screenfetch 3.7.0-1
scrnsaverproto 1.2.2-2
scrot 0.8.13-1
sdl 1.2.15-7
sdl_image 1.2.12-3
sdparm 1.09-1
sed 4.2.2-4
sg3_utils 1.42-1
shadow 4.2.1-3
shared-mime-info 1.6-2
sip 4.18-1
slang 2.3.0-1
smartmontools 6.5-1
smbclient 4.4.4-1
sound-theme-freedesktop 0.8-2
soundtouch 1.9.2-1
spandsp 0.0.6-1
speedtest-cli 0.3.4-1
speex 1.2rc2-1
speexdsp 1.2rc3-2
splix 2.0.0-13
sqlite 3.13.0-1
squashfs-tools 4.3-4
startup-notification 0.12-4
sublime-text-dev 3.3114-1
sudo 1.8.16-1
sysfsutils 2.1.0-9
syslinux 6.03-6
syslog-ng 3.6.3-2
system-config-printer 1.5.7-2
systemd 230-4
systemd-sysvcompat 230-4
taglib 1.11-1
talloc 2.1.7-1
tar 1.29-1
tcl 8.6.5-2
tdb 1.3.8-1
terminus-font 4.40-2
testdisk 7.0-3
tevent 0.9.28-1
texinfo 6.1-4
thin-provisioning-tools 0.6.1-2
tlp 0.8-1
tre 0.8.0-4
tree 1.7.0-1
tslib 1.1-1
ttf-bitstream-vera 1.10-10
ttf-dejavu 2.35-1
ttf-droid 20121017-4
ttf-font-icons 1.1-3
ttf-inconsolata 20151221.480630d-1
ttf-indic-otf 0.2-8
ttf-liberation 2.00.1-6
tzdata 2016e-1
udisks2 2.1.7-1
ufw 0.35-2
unarj 2.63a-4
unrar 1:5.3.11-1
unzip 6.0-12
upower 0.99.4-2
urxvt-perls 2.2-1
usb_modeswitch 2.3.0-1
usbmuxd 1.1.0-2
usbutils 008-1
util-linux 2.28-1
v4l-utils 1.10.0-1
v86d 0.1.10-5
variety 0.6.0-1
vertex-maia-themes 20160509-1
vi 1:070224-2
vid.stab 1.1-1
videoproto 2.3.3-1
viewnior 1.6-2
vim 7.4.1910-1
vim-runtime 7.4.1910-1
vlc 2.2.4-1
volumeicon 0.5.1-1
vpnc 0.5.3.svn550-1
vte-common 0.44.2-1
vte3 0.44.2-1
w3m 0.5.3.git20160413-1
wavpack 4.80.0-1
wayland 1.11.0-1
wayland-protocols 1.4-1
webkit2gtk 2.12.3-1
webkitgtk 2.4.11-1
webkitgtk2 2.4.11-1
wget 1.18-1
which 2.21-2
wildmidi 0.3.9-1
wireless-regdb 2015.07.20-1
wireless_tools 30.pre9-1
wmutils 1.2.r2.g9372688-1
wpa_supplicant 1:2.5-3
x265 1.9-1
xarchiver-gtk2 0.5.4.6-1
xautolock 2.2-4
xbitmaps 1.1.1-3
xcb-proto 1.12-2
xcb-util 0.4.0-1
xcb-util-cursor 0.1.3-1
xcb-util-image 0.4.0-1
xcb-util-keysyms 0.4.0-1
xcb-util-renderutil 0.3.9-1
xcb-util-wm 0.4.1-1
xcb-util-xrm 1.0-1
xcursor-chameleon-pearl 0.5-2
xdg-su 1.2.3-1
xdg-user-dirs 0.15-4
xdg-utils 1.1.1-2
xdotool 3.20150503.1-1
xextproto 7.3.0-1
xf86-input-acecad 1.5.0-8
xf86-input-aiptek 1.4.1-8
xf86-input-elographics 1.4.1-5
xf86-input-evdev 2.10.3-0.1
xf86-input-joystick 1.6.2-5
xf86-input-keyboard 1.8.1-1
xf86-input-libinput 0.19.0-0.2
xf86-input-mouse 1.9.1-1
xf86-input-void 1.4.1-1
xf86-video-nouveau 1.0.12-0.1
xf86dgaproto 2.1-3
xf86vidmodeproto 2.3.1-3
xfburn 0.5.4-3
xfce4-power-manager 1.4.4-2
xfconf 4.12.0-4
xfsprogs 4.5.0-1
xineramaproto 1.2.1-3
xkeyboard-config 2.18-1
xorg-bdftopcf 1.0.5-1
xorg-font-util 1.3.1-1
xorg-font-utils 7.6-4
xorg-fonts-alias 1.0.3-1
xorg-fonts-encodings 1.0.4-4
xorg-fonts-misc 1.0.3-4
xorg-iceauth 1.0.7-1
xorg-luit 1.1.1-2
xorg-mkfontdir 1.0.7-2
xorg-mkfontscale 1.1.2-1
xorg-server 1.17.4-2
xorg-server-common 1.17.4-2
xorg-server-utils 7.6-4
xorg-sessreg 1.1.0-1
xorg-setxkbmap 1.3.1-1
xorg-twm 1.0.9-1
xorg-utils 7.6-9
xorg-xauth 1.0.9-1
xorg-xbacklight 1.2.1-1
xorg-xcmsdb 1.0.5-1
xorg-xdpyinfo 1.3.2-1
xorg-xdriinfo 1.0.5-1
xorg-xev 1.2.2-1
xorg-xgamma 1.0.6-1
xorg-xhost 1.0.7-1
xorg-xinit 1.3.4-4
xorg-xinput 1.6.2-1
xorg-xkbcomp 1.3.1-1
xorg-xkill 1.0.4-1
xorg-xlsatoms 1.1.2-1
xorg-xlsclients 1.1.3-1
xorg-xmodmap 1.0.9-1
xorg-xprop 1.2.2-1
xorg-xrandr 1.5.0-1
xorg-xrdb 1.1.0-2
xorg-xrefresh 1.0.5-1
xorg-xset 1.2.3-1
xorg-xsetroot 1.1.1-2
xorg-xvinfo 1.1.3-1
xorg-xwininfo 1.1.3-1
xproto 7.0.29-1
xsel 1.2.0-6
xterm 325-1
xvidcore 1.3.4-1
xz 5.2.2-1
yajl 2.1.0-1
yaourt 1.8.1-1
zd1211-firmware 1.5-1
zenity 3.20.0-1
zeromq 4.1.4-1
zip 3.0-7
zita-alsa-pcmi 0.2.0-3
zita-resampler 1.3.0-5
zlib 1.2.8-4
zvbi 0.2.35-1
